mjd	F5100	F5100err	F4265	F4265err	F3750	F3750err	Halpha	Halphaerr	Hbeta	Hbetaerr	HeII4686	HeII4686err	HeI4471	HeI4471err	HeI5876	HeI5876err	dataset
52798.0	0.84600	0.04500	0.72500	0.65100	1.02900	1.32600	562.45700	1.47300	106.34600	1.52500	10.64800	1.80500	0.98300	1.61600	15.41200	1.29100	FAST-RM1
52940.0	1.03800	0.02300	1.06300	0.24200	1.69200	0.50800	606.23900	1.15000	139.01500	0.82700	16.13200	0.84500	5.05000	0.68000	15.05700	0.71500	FAST-RM2
52961.0	1.48500	0.02600	1.71700	0.27400	2.95000	0.52400	773.29300	1.48200	183.68100	0.93800	42.45300	0.93800	8.86800	0.75300	29.65800	0.84400	FAST-RM2
52975.0	1.84200	0.02200	2.15500	0.23400	4.03200	0.46300	716.24200	1.02400	221.54900	0.82700	58.63900	0.84500	4.32600	0.67000	39.54800	0.71700	FAST-RM2
52988.0	2.66200	0.04900	2.72100	0.52800	4.49400	0.86300	692.93700	1.76100	208.18800	1.57700	60.18800	1.79000	5.28000	1.49000	39.41600	1.51500	FAST-RM2
52997.0	1.84100	0.02400	2.02900	0.23800	3.52900	0.44700	910.66200	1.26600	243.84200	0.89300	43.35100	0.89500	3.96400	0.70400	47.11600	0.83000	FAST-RM2
53001.0	1.76100	0.02400	2.01700	0.23700	3.77000	0.45500	995.30700	1.39900	266.81100	0.92500	45.73500	0.89300	6.27600	0.69400	46.85800	0.82700	FAST-RM2
53005.0	1.78700	0.02900	1.88000	0.28500	3.23500	0.52400	956.58900	1.52300	257.24300	1.04500	41.98000	1.03400	9.37800	0.81300	47.13100	1.01400	FAST-RM2
53016.0	1.63700	0.03100	1.77900	0.31600	3.65800	0.55400	852.44800	1.28400	243.90500	1.06600	28.16900	1.12200	7.23600	0.90100	37.61500	1.02000	FAST-RM2
53019.0	1.95700	0.02000	2.31200	0.22000	4.23800	0.38300	842.36000	0.95700	254.39800	0.77300	43.02300	0.76100	6.40000	0.60200	38.86300	0.63400	FAST-RM2
53021.0	2.06500	0.02700	2.36900	0.27300	4.27000	0.52100	842.46100	1.26600	251.87900	1.01700	69.53300	1.03900	5.94100	0.80700	40.93400	0.87300	FAST-RM2
53047.0	2.08900	0.03000	2.25200	0.29800	4.22300	0.62200	1065.99700	1.53300	268.17900	1.07300	36.23000	1.07400	5.46700	0.86900	55.41300	0.97500	FAST-RM2
53049.0	2.06100	0.02700	2.53000	0.29500	5.40000	0.67400	1037.14500	1.44500	284.61400	1.03600	48.34100	1.05000	9.75100	0.85100	49.66100	0.86000	FAST-RM2
53064.0	2.26200	0.02800	2.42900	0.29000	4.73200	0.50600	965.47800	1.34500	276.19000	1.02400	54.69700	1.06700	9.69500	0.86400	46.03000	0.90600	FAST-RM2
53076.0	2.53400	0.02900	3.00300	0.31100	5.74000	0.62700	1004.07100	1.39000	298.97600	1.12800	72.55600	1.15100	10.52900	0.91000	61.70100	0.94100	FAST-RM2
53082.0	2.69100	0.03200	3.23700	0.32400	6.22400	0.61900	1170.88300	1.74500	317.15800	1.19800	83.95200	1.21900	6.89200	0.95400	47.71100	1.13400	FAST-RM2
53092.0	2.95400	0.03700	3.70000	0.38900	7.25100	0.75200	1123.44500	1.66600	343.59900	1.33700	97.93100	1.41700	7.96100	1.12600	49.07600	1.16200	FAST-RM2
53108.0	2.99300	0.03800	4.05500	0.45900	7.67800	0.81200	1112.09600	1.70100	360.11500	1.47100	104.49500	1.62100	18.63100	1.34300	74.55700	1.20400	FAST-RM2
53112.0	3.16100	0.05000	3.55900	0.63800	7.23800	1.04700	1260.71500	2.24200	359.31500	1.87900	114.24000	2.17500	7.89000	1.79600	77.44500	1.49100	FAST-RM2
53122.0	2.80200	0.04000	3.21500	0.41400	6.14500	0.73400	1447.28500	2.08800	380.76100	1.44200	100.33100	1.51100	10.30900	1.18700	82.02000	1.36400	FAST-RM2
53137.0	2.41000	0.02800	2.97700	0.29900	6.15400	0.62000	1170.12100	1.46900	373.55200	1.12800	59.91800	1.07900	12.28600	0.86400	70.79400	0.91300	FAST-RM2
53741.0	3.23700	0.37900	3.95100	2.65300	7.84000	2.65300	1635.21100	14.11000	454.31800	10.27500	88.56000	11.60800	14.75800	8.44900	85.93800	13.03600	FAST-Landt
54116.0	4.11800	0.06200	5.74600	0.72400	11.01200	1.50500	1592.36600	2.51100	595.92400	2.44900	154.36400	2.57300	5.99000	2.05000	117.20000	1.81700	FAST-Landt
54122.0	4.18300	0.29200	5.04400	2.04700	9.69100	2.04700	1890.15000	10.88800	552.80800	7.96600	128.05200	8.92300	23.92000	6.52000	96.07500	10.05900	FAST-Landt
55179.0	2.55400	0.04800	3.15700	0.59600	6.42100	1.54200	1435.35800	1.94500	414.12000	1.76200	80.91800	1.90100	21.15800	1.57700	80.12500	1.37700	FAST-RM2
57539.0	4.71100	0.03400	6.64700	0.44300	12.92700	0.67100	1891.88600	1.14400	578.83200	1.77400	214.08400	1.81600	19.44500	1.33000	107.41900	0.76000	WHT
57801.0	3.28900	0.02700	4.17600	0.30700	8.53500	0.51200	1951.69600	1.17800	484.00100	1.44200	115.50800	1.32100	15.87400	0.96000	97.03800	0.64200	WHT
58281.0	2.79800	0.03600	2.55400	0.41700	3.40600	0.94800	1758.58000	1.60600	349.66900	1.24400	83.20400	1.33900	1.34500	1.09200	76.32500	1.35500	FAST-New
58430.0	2.60400	0.02700	3.49000	0.29700	6.12000	0.63000	1400.85900	1.43200	332.93100	1.01100	91.98200	1.06200	9.63600	0.83700	52.24600	0.86800	FAST-New
58431.0	2.61200	0.03400	3.67900	0.42500	7.05000	0.91800	1301.94500	1.71000	318.31200	1.29800	91.40700	1.45900	18.02200	1.18400	52.55800	1.12900	FAST-New
58432.0	2.64100	0.03300	3.35800	0.36800	5.96200	0.81500	1307.23700	1.57600	314.81400	1.15600	86.05700	1.27200	9.84200	1.02200	46.94500	1.01200	FAST-New
58433.0	2.57800	0.02600	3.35000	0.29700	6.13000	0.65600	1340.39400	1.36800	321.43900	0.98500	85.25000	1.05500	10.29700	0.84300	54.61500	0.82500	FAST-New
58463.0	2.61600	0.03200	3.25300	0.34800	6.59900	0.83400	1417.63800	1.63000	368.50700	1.18500	94.32400	1.23700	16.37500	0.98000	72.54700	1.02700	FAST-New
58521.0	3.03900	0.03300	3.89400	0.34200	7.23200	0.82400	1628.43800	1.90000	392.29900	1.25200	103.60300	1.26300	8.97100	0.97500	64.78700	1.05000	FAST-New
58522.0	5.53000	0.15800	8.42900	1.93200	15.35400	4.39300	1088.33600	5.70400	423.03200	5.15900	110.55200	5.95000	25.78400	5.08800	106.39800	5.22800	FAST-New
58555.0	3.42200	0.07400	4.14500	0.84300	7.25000	2.00500	1498.88200	3.34600	395.23500	2.63600	118.28000	2.85000	15.46100	2.26400	74.56200	2.25300	FAST-New
